0,0,0,0,0,0,0,0,0,0,0,56.5204210860878,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,
31,0,0,0,0,0,0,0,0,0,0,124.788031499553,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,63.570728299553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,31,15,0,0,0,0,0,0,0,0,75.0874987995531,1,3,1,0,0,0,0,0,0,0,0,6,5,1,0,0,1,0,0,0,
40,65,115,60,55,41,83,129,0,0,0,941.879795199553,1,1,4,8,4,1,1,2,0,0,0,29,11,18,0,9,9,2,0,0,
0,0,0,0,0,0,0,0,0,0,0,2.28671649955322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,38.2541007995528,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,
12,10,9,36,13,23,18,51,56,20,243,500.391803099552,1,1,1,5,1,1,2,4,3,1,10,30,15,15,0,9,6,1,1,4,
14,15,17,26,34,42,24,43,38,22,165,451.424600199553,1,1,1,3,1,2,1,1,1,2,10,24,11,13,0,10,3,0,1,4,
11,11,32,32,25,19,29,39,34,28,154,424.890942899553,1,1,6,8,1,1,5,3,3,2,11,42,28,14,0,8,6,0,1,3,
47,23,35,54,0,0,0,0,0,0,0,176.688507099552,1,1,5,10,0,0,0,0,0,0,0,17,8,9,0,0,9,0,0,0,
30,13,10,14,37,18,26,21,40,24,296,538.742095599553,1,1,1,1,1,1,1,1,2,1,16,27,13,14,0,12,2,0,1,4,
24,22,40,57,52,24,22,36,69,15,341,711.960339699554,2,3,3,11,2,1,2,1,2,1,20,48,27,21,0,10,11,0,1,6,
16,28,36,29,120,37,22,47,147,31,351,875.245410499549,2,4,6,6,16,2,3,2,3,1,15,60,42,18,0,11,7,0,1,4,
45,9,13,18,30,19,18,47,33,35,242,542.175388499552,1,1,1,3,1,1,2,2,1,2,14,29,21,8,0,5,3,0,0,5,
51,25,56,115,38,38,53,100,73,35,412,1006.54660249955,2,1,2,8,1,1,4,4,4,2,16,45,34,11,0,4,7,1,0,6,
0,0,0,0,0,0,0,0,0,0,0,36.0203953995515,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,29.8701168995594,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,6,0,0,0,
25,12,28,20,41,74,42,79,31,24,0,564.809005099552,1,1,2,2,1,5,1,4,1,2,0,27,11,16,0,14,2,0,0,3,
13,9,0,0,0,0,0,0,0,0,0,32.9536546995532,1,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,
14,17,18,21,21,45,16,28,54,28,518,790.327740099554,2,0,2,2,1,3,1,1,3,2,31,48,27,21,0,19,2,1,1,12,
10,24,27,51,22,12,165,48,25,26,175,595.976213099553,1,3,1,10,0,0,23,2,0,1,11,52,41,11,0,2,9,0,0,1,
27,12,27,78,50,95,42,33,54,19,378,825.761450099551,2,1,2,6,2,5,5,2,3,2,27,57,37,20,0,17,3,1,1,7,
14,15,14,27,38,20,58,31,45,36,337,647.293127999557,1,1,1,4,1,1,4,1,2,3,14,33,18,15,0,11,4,0,1,6,
16,32,16,38,19,16,20,28,63,21,0,329.273122099556,1,2,1,7,2,1,1,2,2,1,0,21,12,9,0,4,5,0,1,0,
16,9,19,41,16,19,25,18,117,20,349,663.043343299552,1,1,3,9,1,1,1,1,2,1,16,37,24,13,0,5,8,0,1,2,
